"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"Act of Valour","(2012)","6.5","Action","Adventure","Rorke Denver,Dave,Sonny,Weimy,Ray","
        
            An elite team of Navy SEALs embark on a covert mission to recover a kidnapped CIA agent.
    ","(68,193)","Mike McCoy","
1 win & 7 nominations.
            ","
                    $12,000,000 (estimated)
            ","
                    $10,121, 02 Sep 2012
            ","
                    $82,497,035
            ","
                            110 min
                        "
"Horns","(2013)","6.5","Comedy","Crime","Daniel Radcliffe,Max Minghella,Joe Anderson,Juno Temple,Kelli Garner","
        
            In the aftermath of his girlfriend's mysterious death, a young man awakens to find strange horns sprouting from his forehead.
    ","(81,553)","Alexandre Aja","
4 wins & 4 nominations.
            ","
                    $107,544, 02 Nov 2014
            ",NA,NA,"
                            120 min
                        "
"The Hangover Part II","(2011)","6.5","Comedy",NA,"Bradley Cooper,Ed Helms,Zach Galifianakis,Justin Bartha,Ken Jeong","
        
            Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.
    ","(481,824)","Todd Phillips","
5 wins & 18 nominations.
            ","
                    $80,000,000 (estimated)
            ","
                    $85,946,294, 29 May 2011
            ","
                    $586,764,305
            ","
                            102 min
                        "
"The Expendables","(2010)","6.5","Action","Adventure","Sylvester Stallone,Jason Statham,Jet Li,Dolph Lundgren,Eric Roberts","
        
            A CIA operative hires a team of mercenaries to eliminate a Latin dictator and a renegade CIA agent.
    ","(336,795)","Sylvester Stallone","
3 wins & 5 nominations.
            ","
                    $80,000,000 (estimated)
            ","
                    $34,825,135, 15 Aug 2010
            ","
                    $274,470,394
            ","
                            103 min
                        "
"Evil Dead","(2013)","6.5","Horror",NA,"Jane Levy,Shiloh Fernandez,Lou Taylor Pucci,Jessica Lucas,Elizabeth Blackmore","
        
            Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods.
    ","(164,813)","Fede Alvarez","
6 wins & 19 nominations.
            ","
                    $17,000,000 (estimated)
            ","
                    $25,775,847, 07 Apr 2013
            ","
                    $97,542,952, 13 Sep 2013
            ","
                            91 min
                        "
"Sex Drive","(2008)","6.5","Comedy","Romance","Josh Zuckerman,Amanda Crew,Clark Duke,James Marsden,Seth Green","
        
            A high school senior drives cross-country with his best friends to hook up with a babe he met online.
    ","(86,462)","Sean Anders",NA,"
                    $19,000,000 (estimated)
            ","
                    $3,607,164, 17 Oct 2008
            ","
                    $15,079,259, 29 Mar 2009
            ","
                            109 min
                        "
"Drag Me to Hell","(2009)","6.5","Horror",NA,"Alison Lohman,Justin Long,Lorna Raver,Dileep Rao,David Paymer","
        
            A loan officer who evicts an old woman from her home finds herself the recipient of a supernatural curse. Desperate, she turns to a seer to try and save her soul, while evil forces work to push her to a breaking point.
    ","(196,260)","Sam Raimi","
7 wins & 24 nominations.
            ","
                    $30,000,000 (estimated)
            ","
                    $15,825,480, 31 May 2009
            ","
                    $91,388,487
            ","
                            99 min
                        "
"The Runaways","(2010)","6.5","Biography","Drama","Kristen Stewart,Dakota Fanning,Michael Shannon,Stella Maeve,Scout Taylor-Compton","
        
            A coming-of-age biographical film about the 1970s teenage all-girl rock band The Runaways. The relationship between band members Cherie Currie and Joan Jett is also explored.
    ","(48,018)","Floria Sigismondi","
6 nominations.
            ","
                    $10,000,000 (estimated)
            ","
                    $805,115, 21 Mar 2010
            ","
                    $1,107,978, 12 Dec 2010
            ","
                            106 min
                        "
"Zack and Miri Make a Porno","(2008)","6.5","Comedy","Romance","Elizabeth Banks,Seth Rogen,Craig Robinson,Gerry Bednob,Edward Janda","
        
            Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they...
    See more »
    ","(175,744)","Kevin Smith","
2 wins & 4 nominations.
            ","
                    $24,000,000 (estimated)
            ","
                    $10,065,630, 02 Nov 2008
            ",NA,"
                            101 min
                        "
"A Perfect Getaway","(2009)","6.5","Drama","Mystery","Steve Zahn,Timothy Olyphant,Milla Jovovich,Kiele Sanchez,Marley Shelton","
        
            Two pairs of lovers on a Hawaiian vacation discover that psychopaths are stalking and murdering tourists on the islands.
    ","(70,882)","David Twohy","
1 nomination.
            ","
                    $14,000,000 (estimated)
            ","
                    $5,948,555, 09 Aug 2009
            ",NA,"
                            98 min
                        "
"Music and Lyrics","(2007)","6.5","Comedy","Music","Hugh Grant,Scott Porter,Nick Bacon,Andrew Wyatt,Dan McMillan","
        
            A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.
    ","(101,118)","Marc Lawrence","
6 nominations.
            ","
                    $40,000,000 (estimated)
            ","
                    $15,875,471, 18 Feb 2007
            ","
                    $145,896,422
            ","
                            104 min
                        "
"The Chronicles of Narnia: Prince Caspian","(2008)","6.5","Action","Adventure","Ben Barnes,Georgie Henley,Skandar Keynes,William Moseley,Anna Popplewell","
        
            The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.
    ","(203,268)","Andrew Adamson","
2 wins & 21 nominations.
            ","
                    $225,000,000 (estimated)
            ","
                    $55,034,805, 18 May 2008
            ","
                    $419,651,413
            ","
                            150 min
                        "
"Margaret","(I) (2011)","6.5","Drama",NA,"Anna Paquin,J. Smith-Cameron,Mark Ruffalo,Jeannie Berlin,Jean Reno","
        
            A young woman witnesses a bus accident, and is caught up in the aftermath, where the question of whether or not it was intentional affects many people's lives.
    ","(17,073)","Kenneth Lonergan","
9 wins & 18 nominations.
            ","
                    $14,000,000 (estimated)
            ","
                    $7,525, 02 Oct 2011
            ",NA,"
                            150 min
                        "
"Dreamgirls","(2006)","6.5","Drama","Music","Jamie Foxx,Beyoncé,Eddie Murphy,Danny Glover,Jennifer Hudson","
        
            A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.
    ","(72,239)","Bill Condon","
Won 2 Oscars. Another 65 wins & 92 nominations.
            ","
                    $70,000,000 (estimated)
            ","
                    $378,950, 17 Dec 2006
            ","
                    $154,937,680
            ","
                            130 min
                        "
"Slither","(2006)","6.5","Comedy","Horror","Don Thompson,Nathan Fillion,Gregg Henry,Xantha Radley,Elizabeth Banks","
        
            A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters.
    ","(79,539)","James Gunn","
2 wins & 5 nominations.
            ","
                    $15,500,000 (estimated)
            ",NA,NA,"
                            95 min
                        "
"Terminator Salvation","(2009)","6.5","Action","Sci-Fi","Christian Bale,Sam Worthington,Moon Bloodgood,Helena Bonham Carter,Anton Yelchin","
        
            In 2018, a mysterious new weapon in the war against the machines, half-human and half-machine, comes to John Connor on the eve of a resistance attack on Skynet. But whose side is he on, and can he be trusted?
    ","(353,059)","McG","
2 wins & 14 nominations.
            ","
                    $200,000,000 (estimated)
            ","
                    $42,558,390, 28 Jul 2012
            ","
                    $371,353,001, 28 Jul 2012
            ","
                            115 min
                        "
"War of the Worlds","(2005)","6.5","Action","Adventure","Tom Cruise,Dakota Fanning,Miranda Otto,Justin Chatwin,Tim Robbins","
        
            An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.
    ","(432,357)","Steven Spielberg","
Nominated for 3 Oscars. Another 16 wins & 46 nominations.
            ","
                    $132,000,000 (estimated)
            ","
                    $77,061,953, 04 Jul 2005
            ","
                    $591,745,540
            ","
                            116 min
                        "
"Silent Hill","(2006)","6.5","Horror","Mystery","Radha Mitchell,Sean Bean,Laurie Holden,Deborah Kara Unger,Kim Coates","
        
            A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.
    ","(222,941)","Christophe Gans","
8 nominations.
            ","
                    $50,000,000 (estimated)
            ","
                    $97,607,453, 13 May 2018
            ",NA,"
                            125 min
                        "
"Where the Truth Lies","(2005)","6.5","Crime","Drama","Kevin Bacon,Colin Firth,Alison Lohman,David Hayman,Rachel Blanchard","
        
            Karen O'Connor, a young journalist known for her celebrity profiles, is consumed with discovering the truth behind a long-buried incident that affected the lives and careers of showbiz team Vince Collins and Lanny Morris.
    ","(17,534)","Atom Egoyan","
2 wins & 10 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    CAD184,496, 09 Oct 2005
            ",NA,"
                            107 min
                        "
"A Walk Among the Tombstones","(2014)","6.5","Action","Crime","Liam Neeson,Maurice Compte,Patrick McDade,Luciano Acuna Jr.,Hans Marrero","
        
            Private investigator Matthew Scudder is hired by a drug kingpin to find out who kidnapped and murdered his wife.
    ","(117,521)","Scott Frank","
1 nomination.
            ","
                    $28,000,000 (estimated)
            ","
                    $12,758,780, 19 Sep 2014
            ",NA,"
                            114 min
                        "
"Secret Window","(2004)","6.5","Drama","Mystery","Johnny Depp,John Turturro,Maria Bello,Timothy Hutton,Charles S. Dutton","
        
            A successful writer in the midst of a painful divorce is stalked at his remote lake house by a would-be scribe who accuses him of plagiarism.
    ","(189,837)","David Koepp","
3 nominations.
            ","
                    $40,000,000 (estimated)
            ","
                    $18,237,568, 14 Mar 2004
            ","
                    $92,913,171
            ","
                            96 min
                        "
"Mr. & Mrs. Smith","(2005)","6.5","Action","Comedy","Brad Pitt,Angelina Jolie,Vince Vaughn,Adam Brody,Kerry Washington","
        
            A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
    ","(472,985)","Doug Liman","
9 wins & 18 nominations.
            ","
                    $120,000,000 (estimated)
            ","
                    $50,342,878, 12 Jun 2005
            ","
                    $478,207,520
            ","
                            120 min
                        "
"The Missing","(I) (2003)","6.5","Adventure","Thriller","Tommy Lee Jones,Cate Blanchett,Evan Rachel Wood,Jenna Boyd,Aaron Eckhart","
        
            In 1885 New Mexico, a frontier medicine woman forms an uneasy alliance with her estranged father when her daughter is kidnapped by an Apache brujo.
    ","(34,947)","Ron Howard","
2 wins & 8 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $10,833,633, 30 Nov 2003
            ",NA,"
                            137 min
                        "
"Kaante","(2002)","6.5","Action","Crime","Amitabh Bachchan,Sanjay Dutt,Suniel Shetty,Mahesh Manjrekar,Lucky Ali","
        
            Six bank robbers trying to pull off the perfect heist discover one of them is an undercover cop.
    ","(4,929)","Sanjay Gupta","
6 wins & 9 nominations.
            ","
                    INR280,000,000 (estimated)
            ","
                    INR115,633,140, 27 Dec 2002
            ","
                    $8,845,861
            ","
                            154 min
                        "
"Mean Machine","(2001)","6.5","Comedy","Crime","Vinnie Jones,David Kelly,David Hemmings,Ralph Brown,Vas Blackwood","
        
            A football star jailed for assault leads a group of inmates in a match against prison guards.
    ","(38,633)","Barry Skolnick",NA,"
                    GBP2,500,000 (estimated)
            ","
                    GBP1,573,594, 30 Dec 2001
            ","
                    $7,310,206
            ","
                            99 min
                        "
"Changing Lanes","(2002)","6.5","Drama","Thriller","Ben Affleck,Samuel L. Jackson,Kim Staunton,Toni Collette,Sydney Pollack","
        
            A young lawyer and a businessman share a small automobile accident, and their mutual road rage escalates into a feud.
    ","(70,554)","Roger Michell","
7 nominations.
            ","
                    $45,000,000 (estimated)
            ","
                    $17,128,062, 14 Apr 2002
            ","
                    $94,935,764
            ","
                            98 min
                        "
"Big Trouble","(2002)","6.5","Comedy","Crime","Tim Allen,Rene Russo,Stanley Tucci,Tom Sizemore,Johnny Knoxville","
        
            The lives of several Miami denizens, from ad agents to gunrunners to street thugs to law enforcement to school-children, intersect with humorous and dangerous results.
    ","(20,438)","Barry Sonnenfeld",NA,"
                    $40,000,000 (estimated)
            ","
                    $3,545,204, 07 Apr 2002
            ",NA,"
                            85 min
                        "
"Swordfish","(2001)","6.5","Action","Crime","John Travolta,Hugh Jackman,Halle Berry,Don Cheadle,Sam Shepard","
        
            A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.
    ","(183,003)","Dominic Sena","
5 wins & 10 nominations.
            ","
                    $102,000,000 (estimated)
            ","
                    $18,145,632, 10 Jun 2001
            ","
                    $147,080,413
            ","
                            99 min
                        "
"The Four Feathers","(2002)","6.5","Action","Adventure","Wes Bentley,Mohamed Bouich,Campbell Brown,Daniel Caltagirone,James Cosmo","
        
            A British officer resigns his post just before battle and subsequently receives four white feathers from his friends and fiancee as symbols of what they believe to be his cowardice.
    ","(33,647)","Shekhar Kapur",NA,"
                    $35,000,000 (estimated)
            ","
                    GBP61,800, 20 Jul 2003
            ",NA,"
                            132 min
                        "
"Bandits","(2001)","6.5","Comedy","Crime","Bruce Willis,Billy Bob Thornton,Cate Blanchett,Troy Garity,Brían F. O'Byrne","
        
            Two bank robbers fall in love with the girl they've kidnapped.
    ","(67,284)","Barry Levinson","
4 wins & 7 nominations.
            ","
                    $75,000,000 (estimated)
            ","
                    $13,050,700, 14 Oct 2001
            ","
                    $67,631,903
            ","
                            123 min
                        "
"Awake","(2007)","6.5","Crime","Drama","Hayden Christensen,Jessica Alba,Terrence Howard,Lena Olin,Christopher McDonald","
        
            A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.
    ","(74,690)","Joby Harold","
1 win & 3 nominations.
            ","
                    $8,600,000 (estimated)
            ","
                    $5,856,872, 02 Dec 2007
            ","
                    $32,685,679
            ","
                            84 min
                        "
"Zoolander","(2001)","6.5","Comedy",NA,"Ben Stiller,Owen Wilson,Christine Taylor,Will Ferrell,Milla Jovovich","
        
            At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.
    ","(256,081)","Ben Stiller","
1 win & 11 nominations.
            ","
                    $28,000,000 (estimated)
            ","
                    $953,904, 28 Dec 2001
            ","
                    $60,780,981
            ","
                            90 min
                        "
"Gone in Sixty Seconds","(2000)","6.5","Action","Crime","Nicolas Cage,Giovanni Ribisi,Angelina Jolie,T.J. Cross,William Lee Scott","
        
            A retired master car thief must come back to the industry and steal fifty cars with his crew in one night to save his brother's life.
    ","(270,048)","Dominic Sena","
9 wins & 6 nominations.
            ","
                    $90,000,000 (estimated)
            ","
                    $25,336,048, 11 Jun 2000
            ","
                    $237,202,299
            ","
                            118 min
                        "
"Space Cowboys","(2000)","6.5","Action","Adventure","Clint Eastwood,Tommy Lee Jones,Donald Sutherland,James Garner,James Cromwell","
        
            When retired engineer Frank Corvin (Clint Eastwood) is called upon to rescue a failing satellite, he insists that his equally old teammates accompany him into space.
    ","(78,945)","Clint Eastwood","
Nominated for 1 Oscar. Another 4 wins & 8 nominations.
            ","
                    $65,000,000 (estimated)
            ","
                    $18,093,776, 06 Aug 2000
            ","
                    $128,884,132
            ","
                            130 min
                        "
"The Blair Witch Project","(1999)","6.5","Horror","Mystery","Heather Donahue,Joshua Leonard,Michael C. Williams,Bob Griffin,Jim King","
        
            Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.
    ","(247,526)","Daniel Myrick","
19 wins & 26 nominations.
            ","
                    $60,000 (estimated)
            ","
                    $29,207,381, 01 Aug 1999
            ","
                    $108,100,000
            ","
                            81 min
                        "
"8MM","(1999)","6.5","Crime","Drama","Nicolas Cage,Joaquin Phoenix,James Gandolfini,Peter Stormare,Anthony Heald","
        
            A private investigator is hired to discover if a ""snuff film"" is authentic or not.
    ","(129,650)","Joel Schumacher","
2 wins & 2 nominations.
            ","
                    $40,000,000 (estimated)
            ","
                    $96,618,699
            ",NA,"
                            123 min
                        "
"The Faculty","(1998)","6.5","Horror","Mystery","Jordana Brewster,Clea DuVall,Laura Harris,Josh Hartnett,Shawn Hatosy","
        
            When Casey Connor, Herrington High School's newspaper photographer, witnesses the murder of a nurse and sees her alive again, he decides to investigate the bizarre happenings.
    ","(118,374)","Robert Rodriguez","
11 nominations.
            ","
                    $15,000,000 (estimated)
            ","
                    $11,633,495, 27 Dec 1998
            ",NA,"
                            104 min
                        "
"BASEketball","(1998)","6.5","Comedy","Sport","Trey Parker,Matt Stone,Dian Bachar,Yasmine Bleeth,Jenny McCarthy","
        
            Two childhood friends are pro athletes of a national sport called BASEketball, a hybrid of baseball and basketball, and must deal with a greedy businessman scheming against their team.
    ","(60,217)","David Zucker","
2 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    $3,086,105, 02 Aug 1998
            ",NA,"
                            103 min
                        "
"Dinosaur","(2000)","6.5","Animation","Adventure","Alfre Woodard,Ossie Davis,Max Casella,Hayden Panettiere,D.B. Sweeney","
        
            An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.
    ","(57,666)","Eric Leighton","
4 wins & 21 nominations.
            ","
                    $127,500,000 (estimated)
            ","
                    $38,854,851, 21 May 2000
            ","
                    $354,248,063
            ","
                            82 min
                        "
"Can't Hardly Wait","(1998)","6.5","Comedy","Romance","Jennifer Love Hewitt,Ethan Embry,Charlie Korsmo,Lauren Ambrose,Peter Facinelli","
        
            A complete graduating class, consisting of beautiful girls, geeks and promising footballers, assemble at a rich classmate's residence for a party. Interesting developments follow at the get-together.
    ","(48,802)","Harry Elfont","
2 nominations.
            ","
                    $10,000,000 (estimated)
            ","
                    $8,025,910, 14 Jun 1998
            ",NA,"
                            100 min
                        "
"Another Day in Paradise","(1998)","6.5","Crime","Drama","James Woods,Melanie Griffith,Vincent Kartheiser,Natasha Gregson Wagner,James Otis","
        
            In the hope of a big score, two junkie couples team up to commit various drug robberies which go disastrously wrong leading to dissent, violence and murder.
    ","(8,654)","Larry Clark","
3 wins & 1 nomination.
            ","
                    $4,500,000 (estimated)
            ","
                    $14,900, 03 Jan 1999
            ",NA,"
                            101 min
                        "
"Waking the Dead","(2000)","6.5","Drama","Mystery","Billy Crudup,Bill Haugland,Nelson Landrieu,Ivonne Coll,Jennifer Connelly","
        
            A congressional candidate questions his sanity after seeing the love of his life, presumed dead, suddenly emerge.
    ","(7,119)","Keith Gordon","
1 nomination.
            ","
                    $8,500,000 (estimated)
            ","
                    $150,422, 26 Mar 2000
            ",NA,"
                            105 min
                        "
"Star Wars: Episode II - Attack of the Clones","(2002)","6.5","Action","Adventure","Ewan McGregor,Natalie Portman,Hayden Christensen,Christopher Lee,Samuel L. Jackson","
        
            Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.
    ","(672,397)","George Lucas","
Nominated for 1 Oscar. Another 19 wins & 64 nominations.
            ","
                    $115,000,000 (estimated)
            ","
                    $80,027,814, 19 May 2002
            ","
                    $649,398,328, 10 Dec 2011
            ","
                            142 min
                        "
"Star Wars: Episode I - The Phantom Menace","(1999)","6.5","Action","Adventure","Liam Neeson,Ewan McGregor,Natalie Portman,Jake Lloyd,Ian McDiarmid","
        
            Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their original glory.
    ","(763,054)","George Lucas","
Nominated for 3 Oscars. Another 26 wins & 66 nominations.
            ","
                    $115,000,000 (estimated)
            ","
                    $22,469,932, 12 Feb 2012
            ","
                    $1,027,044,677
            ","
                            136 min
                        "
"Wild Things","(1998)","6.5","Crime","Drama","Kevin Bacon,Matt Dillon,Neve Campbell,Theresa Russell,Denise Richards","
        
            A police detective uncovers a conspiracy behind a case involving a high-school guidance counselor when accusations of rape are made against him by two female students.
    ","(115,806)","John McNaughton","
2 wins & 4 nominations.
            ","
                    $20,000,000 (estimated)
            ","
                    $9,622,444, 22 Mar 1998
            ",NA,"
                            108 min
                        "
"A Perfect Murder","(1998)","6.5","Crime","Drama","Michael Douglas,Gwyneth Paltrow,Viggo Mortensen,David Suchet,Sarita Choudhury","
        
            A wealthy Wall Street speculator discovers that his wife has a lover. He investigates him and uses the carrot and stick to make him murder his wife. Planned to detail, it seems like a perfect murder.
    ","(83,100)","Andrew Davis","
2 wins & 3 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $16,615,704, 07 Jun 1998
            ","
                    $128,038,368
            ","
                            107 min
                        "
"The Man in the Iron Mask","(I) (1998)","6.5","Action","Adventure","Leonardo DiCaprio,Jeremy Irons,John Malkovich,Gérard Depardieu,Gabriel Byrne","
        
            The cruel King Louis XIV of France has a secret twin brother whom he keeps imprisoned. Can the twin be substituted for the real king?
    ","(162,668)","Randall Wallace","
3 wins & 4 nominations.
            ","
                    $35,000,000 (estimated)
            ","
                    $182,968,902
            ",NA,"
                            132 min
                        "
"Dirty Work","(1998)","6.5","Comedy",NA,"Norm MacDonald,Jack Warden,Artie Lange,Traylor Howard,Don Rickles","
        
            A loser finds success in the revenge-for-hire business.
    ","(26,745)","Bob Saget",NA,"
                    $13,000,000 (estimated)
            ",NA,NA,"
                            82 min
                        "
"Antz","(1998)","6.5","Animation","Adventure","Woody Allen,Dan Aykroyd,Anne Bancroft,Jane Curtin,Danny Glover","
        
            A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.
    ","(151,297)","Eric Darnell","
Nominated for 1 BAFTA Film Award. Another 6 wins & 13 nominations.
            ","
                    $105,000,000 (estimated)
            ","
                    $17,195,160, 04 Oct 1998
            ","
                    $171,757,863
            ","
                            83 min
                        "
"Tomorrow Never Dies","(1997)","6.5","Action","Adventure","Pierce Brosnan,Jonathan Pryce,Michelle Yeoh,Teri Hatcher,Ricky Jay","
        
            James Bond sets out to stop a media mogul's plan to induce war between China and the UK in order to obtain exclusive global media coverage.
    ","(189,556)","Roger Spottiswoode","
6 wins & 10 nominations.
            ","
                    $110,000,000 (estimated)
            ","
                    GBP1,784,417, 02 Jan 1998
            ","
                    $221,300,000
            ","
                            119 min
                        "
"Mousehunt","(1997)","6.5","Comedy",NA,"Nathan Lane,Lee Evans,Vicki Lewis,Maury Chaykin,Eric Christmas","
        
            Two stumblebum inheritors are determined to rid their antique house of a mouse who is equally determined to stay where he is.
    ","(55,271)","Gore Verbinski","
2 wins & 2 nominations.
            ","
                    $38,000,000 (estimated)
            ","
                    $6,062,922, 21 Dec 1997
            ","
                    $122,417,389
            ","
                            98 min
                        "
"Bean","(1997)","6.5","Adventure","Comedy","Rowan Atkinson,Peter MacNicol,John Mills,Pamela Reed,Harris Yulin","
        
            The bumbling Mr. Bean travels to America when he is given the responsibility of bringing a highly valuable painting to a Los Angeles museum.
    ","(101,867)","Mel Smith","
2 wins & 1 nomination.
            ","
                    $22,000,000 (estimated)
            ","
                    GBP2,563,326, 03 Aug 1997
            ","
                    $251,212,670
            ","
                            89 min
                        "
"Air Force One","(1997)","6.5","Action","Drama","Harrison Ford,Gary Oldman,Glenn Close,Wendy Crewson,Liesel Matthews","
        
            Communist Radicals hijack Air Force One with The U.S. President and his family on board. The Vice President negotiates from Washington D.C., while the President, a Veteran, fights to rescue the hostages on board.
    ","(189,320)","Wolfgang Petersen","
Nominated for 2 Oscars. Another 7 wins & 11 nominations.
            ","
                    $85,000,000 (estimated)
            ","
                    $37,132,505, 27 Jul 1997
            ","
                    $315,156,409
            ","
                            124 min
                        "
"Space Jam","(1996)","6.5","Animation","Adventure","Michael Jordan,Wayne Knight,Theresa Randle,Manner Washington,Eric Gordon","
        
            In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.
    ","(190,934)","Joe Pytka","
5 wins & 7 nominations.
            ","
                    $80,000,000 (estimated)
            ","
                    $27,528,529, 17 Nov 1996
            ","
                    $250,200,000
            ","
                            88 min
                        "
"DragonHeart","(1996)","6.5","Action","Adventure","Dennis Quaid,David Thewlis,Pete Postlethwaite,Dina Meyer,Jason Isaacs","
        
            The last dragon and a disillusioned dragonslaying Knight must cooperate to stop an evil King, who was given partial immortality.
    ","(95,453)","Rob Cohen","
Nominated for 1 Oscar. Another 3 wins & 9 nominations.
            ","
                    $57,000,000 (estimated)
            ","
                    $1,238,000, 26 Jul 1996
            ","
                    $115,267,375
            ","
                            103 min
                        "
"Bullet","(1996)","6.5","Action","Crime","Mickey Rourke,Frank Senger,Adrien Brody,John Enos III,Fatmir Haskaj","
        
            Paroled after 8 years in prison, Bullet's picked up by his brother and a friend. Bullet assaults a drug dealer and two customers. Things escalate.
    ","(8,250)","Julien Temple",NA,NA,NA,NA,"
                            96 min
                        "
"When Night Is Falling","(1995)","6.5","Drama","Romance","Pascale Bussières,Rachael Crawford,Henry Czerny,David Fox,Don McKellar","
        
            An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.
    ","(6,953)","Patricia Rozema","
5 nominations.
            ",NA,NA,NA,"
                            94 min
                        "
"The Quick and the Dead","(1995)","6.5","Action","Romance","Sharon Stone,Gene Hackman,Russell Crowe,Leonardo DiCaprio,Tobin Bell","
        
            A female gunfighter returns to a frontier town where a dueling tournament is being held, which she enters in an effort to avenge her father's death.
    ","(90,331)","Sam Raimi","
1 nomination.
            ","
                    $32,000,000 (estimated)
            ","
                    $6,515,861, 12 Feb 1995
            ",NA,"
                            107 min
                        "
"The Prophecy","(1995)","6.5","Action","Crime","Christopher Walken,Elias Koteas,Virginia Madsen,Eric Stoltz,Viggo Mortensen","
        
            At the scene of a bizarre murder, L.A. homicide detective Thomas Dagget discovers a lethal heavenly prophecy now being fulfilled on earth. In his fight to stop the forces of evil, he finds an unlikely ally in an elementary school teacher.
    ","(30,592)","Gregory Widen","
2 wins & 4 nominations.
            ","
                    $8,000,000 (estimated)
            ",NA,NA,"
                            98 min
                        "
"Zhong Nan Hai bao biao","(1994)","6.5","Action","Crime","Jet Li,Christy Chung,Kent Cheng,Collin Chou,Wing-Chung Leung","
        
            A corrupt businessman commits a murder and the only witness is the girlfriend of another businessman with close connections to the Chinese government, so a bodyguard from Beijing is dispatched to help two Hong Kong cops protect the...
    See more »
    ","(5,116)","Corey Yuen","
1 nomination.
            ",NA,NA,NA,"
                            92 min
                        "
"The Swan Princess","(1994)","6.5","Animation","Adventure","Jack Palance,Howard McGillin,Michelle Nicastro,Liz Callaway,John Cleese","
        
            A power-hungry sorcerer curses a princess to live as a swan by day in this tale of everlasting love.
    ","(24,093)","Richard Rich","
1 win & 8 nominations.
            ","
                    $45,000,000 (estimated)
            ",NA,NA,"
                            93 min
                        "
"The Santa Clause","(1994)","6.5","Comedy","Drama","Tim Allen,Judge Reinhold,Wendy Crewson,Eric Lloyd,David Krumholtz","
        
            When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.
    ","(108,048)","John Pasquin","
2 wins & 8 nominations.
            ","
                    $22,000,000 (estimated)
            ","
                    $189,800,000
            ",NA,"
                            97 min
                        "
"Naked Gun 33 1/3: The Final Insult","(1994)","6.5","Comedy","Crime","Leslie Nielsen,Priscilla Presley,George Kennedy,O.J. Simpson,Fred Ward","
        
            Frank Drebin (Leslie Nielsen) comes out of retirement to help Police Squad infiltrate a gang of terrorists planning to detonate a bomb at the Academy Awards.
    ","(101,604)","Peter Segal","
3 wins.
            ","
                    $30,000,000 (estimated)
            ","
                    $13,200,000, 20 Mar 1994
            ",NA,"
                            83 min
                        "
"Killing Zoe","(1993)","6.5","Crime","Thriller","Eric Stoltz,Martin Raymond,Eric Pascal Chaltiel,Julie Delpy,Jean-Hugues Anglade","
        
            The cab driver sets American Zed up with Zoe in his Paris hotel. Despite FFR1000 charged, she's an art student with day jobs e.g. bank. Safecracker Zed meets his junkie friend after 11 years to rob a bank.
    ","(20,379)","Roger Avary","
2 wins & 1 nomination.
            ","
                    $1,500,000 (estimated)
            ",NA,NA,"
                            96 min
                        "
